UniqueID,ObservationID,Site,PugetSoundRegion,OnOff,Habitat,ReferenceType,reference_treatment,CenterEdge,habitat_type,SD_card_number,video_segment_number,VideoDate,visibility,eelgrass_algae_bare,eelgrass_obstructing_view,time_of_high_tide,Subject,vertical_distribution,trophic_level,TL,morphology,prey_phyla,reproductive_mode_functional_group,feeding_mode,count,feeding_behavior,Comment_start,Comment_stop,NewFG,Year,Month,J_NumSquaresShoots_eel,J_NumShootsDiagonal_eel,J_MaxBladeLength_cm_eel,J_SheathLength_cm_eel,J_MaxSheathWidth_eel,J_DryEpiphyteMass__eel,J_DryAboveGroundEelgrassBiomass__eel,M_NumSquaresShoots_eel,M_NumShootsDiagonal_eel,M_NMaxBladeLength_cm_eel,M_NSheathLength_cm_eel,M_NMaxSheathWidth_eel,M_NDryEpiphyteMass__eel,M_NDryAboveGroundEelgrassBiomass__eel,O_NumSquaresShoots_eel,structure,Aq
2,SD26 279 7_24_2017,Chelsea,South Sound,Off,Flipbag,NA,T,Center,Flipbag,SD26,279,7_24_2017,low,algae,no,0.835416667,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,2 to 4,V,ZP,1,1,NA,light filamentous algae cover,PelFusZP,2017,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,HStr,AqYes
4,SD26 279 7_24_2017,Chelsea,South Sound,Off,Flipbag,NA,T,Center,Flipbag,SD26,279,7_24_2017,low,algae,no,0.835416667,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,2 to 4,V,ZP,1,1,NA,light filamentous algae cover,PelFusZP,2017,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,HStr,AqYes
6,SD26 279 7_24_2017,Chelsea,South Sound,Off,Flipbag,NA,T,Center,Flipbag,SD26,279,7_24_2017,low,algae,no,0.835416667,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,2 to 4,V,ZP,1,1,NA,light filamentous algae cover,PelFusZP,2017,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,HStr,AqYes
8,SD26 279 7_24_2017,Chelsea,South Sound,Off,Flipbag,NA,T,Center,Flipbag,SD26,279,7_24_2017,low,algae,no,0.835416667,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,2 to 4,V,ZP,1,0,NA,light filamentous algae cover,PelFusZP,2017,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,HStr,AqYes
10,SD26 279 7_24_2017,Chelsea,South Sound,Off,Flipbag,NA,T,Center,Flipbag,SD26,279,7_24_2017,low,algae,no,0.835416667,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,2 to 4,V,ZP,1,0,NA,light filamentous algae cover,PelFusZP,2017,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,HStr,AqYes
12,SD26 279 7_24_2017,Chelsea,South Sound,Off,Flipbag,NA,T,Center,Flipbag,SD26,279,7_24_2017,low,algae,no,0.835416667,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,2 to 4,V,ZP,1,0,NA,light filamentous algae cover,PelFusZP,2017,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,HStr,AqYes
14,SD26 279 7_24_2017,Chelsea,South Sound,Off,Flipbag,NA,T,Center,Flipbag,SD26,279,7_24_2017,low,algae,no,0.835416667,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,2 to 4,V,ZP,1,0,NA,light filamentous algae cover,PelFusZP,2017,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,HStr,AqYes
16,SD26 279 7_24_2017,Chelsea,South Sound,Off,Flipbag,NA,T,Center,Flipbag,SD26,279,7_24_2017,low,algae,no,0.835416667,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,2 to 4,V,ZP,1,0,NA,light filamentous algae cover,PelFusZP,2017,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,HStr,AqYes
19,SD26 279 7_24_2017,Chelsea,South Sound,Off,Flipbag,NA,T,Center,Flipbag,SD26,279,7_24_2017,low,algae,no,0.835416667,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,2 to 4,V,ZP,1,0,NA,light filamentous algae cover,PelFusZP,2017,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,HStr,AqYes
21,SD26 279 7_24_2017,Chelsea,South Sound,Off,Flipbag,NA,T,Center,Flipbag,SD26,279,7_24_2017,low,algae,no,0.835416667,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,2 to 4,V,ZP,1,0,NA,light filamentous algae cover,PelFusZP,2017,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,HStr,AqYes
22,SD26 279 7_24_2017,Chelsea,South Sound,Off,Flipbag,NA,T,Center,Flipbag,SD26,279,7_24_2017,low,algae,no,0.835416667,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,2 to 4,V,ZP,1,0,NA,light filamentous algae cover,PelFusZP,2017,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,HStr,AqYes
