UniqueID,ObservationID,Site,PugetSoundRegion,OnOff,Habitat,ReferenceType,reference_treatment,CenterEdge,EdgeOtherSide,HabitatDet,HabitatDetReg,RefTreSiteNo,SD_card_number,video_segment_number,VideoDate,ObservationDate,Media_file,visibility,eelgrass_algae_bare,eelgrass_obstructing_view,time_of_high_tide,Total_media_length,FPS,Subject,vertical_distribution,trophic_level,TL,morphology,prey_phyla,reproductive_mode_functional_group,feeding_mode,count,Behavior,Modifiers,Behavior_type,Start,Stop,Comment_start,Comment_stop,NewFG,NewFG2,Year,Month,NewFG3,VideoDate_M,VideoDate_D,VideoDate_Y,Date_eel,Month_eel,Day_eel,Year_eel,Region_eel,Location_eel,HabitatType_eel,ReferenceFor_eel,J_NumSquaresShoots_eel,J_NumShootsDiagonal_eel,J_MaxBladeLength_cm_eel,J_SheathLength_cm_eel,J_MaxSheathWidth_eel,J_DryEpiphyteMass__eel,J_DryAboveGroundEelgrassBiomass__eel,M_NumSquaresShoots_eel,M_NumShootsDiagonal_eel,M_NMaxBladeLength_cm_eel,M_NSheathLength_cm_eel,M_NMaxSheathWidth_eel,M_NDryEpiphyteMass__eel,M_NDryAboveGroundEelgrassBiomass__eel,O_NumSquaresShoots_eel,O_NumShootsDiagonal_eel,O_MaxBladeLength_cm_eel,O_SheathLength_cm_eel,O_MaxSheathWidth_eel,O_DryEpiphyteMass__eel,O_DryAboveGroundEelgrassBiomass__eel
1,SD18 485 3_24_2018,Taylor at Dosewallips,Hood Canal,on bottom,Clam,NA,T,Center,NA,Clam,,,18,485,3_24_2018,43228.50417,E:/VideoBackup/VideoMarch2018/SD18_23March2018_HoodDosewallipsTaylor/100GOPRO/GOPR0485.MP4,high,b,no,0.452777778,120.9,59.94,cancer crab,benthic,3,3,cancroid,2 to 4,O,ZB or OP,1,f,NA,POINT,12.186,0,NA,NA,Crabs,Crabs,2018,3,,3,24,2018,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,SD26 279 7_24_2017,Chelsea,South Sound,Off,Flipbag,NA,T,Center,NA,Flipbag,Flipbag_S,9,SD26,279,7_24_2017,43053.59861,F:/VideoBackup/video files for analysis/deployed 7_24_2017/SD26/GOPR0279.MP4,low,a,no,0.835416667,120.85,59.94,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,2 to 4,V,ZP,1,f,,POINT,87.046,0,,light filamentous algae cover,PelFusZP,PelFusZP,2017,7,,7,24,2017,42940,7,24,2017,South,Chelsea-Eld,Flipbag,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0
3,SD18 485 3_24_2018,Taylor at Dosewallips,Hood Canal,on bottom,Clam,NA,T,Center,NA,Clam,,,18,485,3_24_2018,43228.50417,E:/VideoBackup/VideoMarch2018/SD18_23March2018_HoodDosewallipsTaylor/100GOPRO/GOPR0485.MP4,high,b,no,0.452777778,120.9,59.94,jelly fish,pelagic/free swimming,3,3,cnidarians,2,O,ZP,1,o,NA,POINT,42.838,0,NA,NA,SmZoo,JF,2018,3,,3,24,2018,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,SD26 279 7_24_2017,Chelsea,South Sound,Off,Flipbag,NA,T,Center,NA,Flipbag,Flipbag_S,9,SD26,279,7_24_2017,43053.59861,F:/VideoBackup/video files for analysis/deployed 7_24_2017/SD26/GOPR0279.MP5,low,a,no,0.835416667,120.85,59.94,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,2 to 4,V,ZP,1,f,,POINT,98.053,0,,light filamentous algae cover,PelFusZP,PelFusZP,2017,7,,7,24,2017,42940,7,24,2017,South,Chelsea-Eld,Flipbag,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0
5,SD18 478 3_24_2018,Taylor at Dosewallips,Hood Canal,on bottom,Clam,NA,T,Center,NA,Clam,,,18,478,3_24_2018,43228.49306,E:/VideoBackup/VideoMarch2018/SD18_23March2018_HoodDosewallipsTaylor/100GOPRO/GOPR0478.MP4,high,b,no,0.452777778,120.85,59.94,starry flounder,demersal,3.6 ± 0.1,3.6,depressed,2,O,OP,1,o,NA,POINT,47.622,0,NA,NA,Fl,FL,2018,3,,3,24,2018,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,SD26 279 7_24_2017,Chelsea,South Sound,Off,Flipbag,NA,T,Center,NA,Flipbag,Flipbag_S,9,SD26,279,7_24_2017,43053.59861,F:/VideoBackup/video files for analysis/deployed 7_24_2017/SD26/GOPR0279.MP6,low,a,no,0.835416667,120.85,59.94,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,2 to 4,V,ZP,1,f,,POINT,103.173,0,,light filamentous algae cover,PelFusZP,PelFusZP,2017,7,,7,24,2017,42940,7,24,2017,South,Chelsea-Eld,Flipbag,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0
7,SD18 478 3_24_2018,Taylor at Dosewallips,Hood Canal,on bottom,Clam,NA,T,Center,NA,Clam,,,18,478,3_24_2018,43228.49306,E:/VideoBackup/VideoMarch2018/SD18_23March2018_HoodDosewallipsTaylor/100GOPRO/GOPR0478.MP4,high,b,no,0.452777778,120.85,59.94,unknown crab,benthic,NA,NA,cancroid,NA,NA,ZB or OP,1,o,NA,POINT,68.614,0,NA,NA,Crabs,Crabs,2018,3,,3,24,2018,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,SD26 279 7_24_2017,Chelsea,South Sound,Off,Flipbag,NA,T,Center,NA,Flipbag,Flipbag_S,9,SD26,279,7_24_2017,43053.59861,F:/VideoBackup/video files for analysis/deployed 7_24_2017/SD26/GOPR0279.MP7,low,a,no,0.835416667,120.85,59.94,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,2 to 4,V,ZP,1,o,,POINT,3.782,0,,light filamentous algae cover,PelFusZP,PelFusZP,2017,7,,7,24,2017,42940,7,24,2017,South,Chelsea-Eld,Flipbag,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0
9,SD18 479 3_24_2018,Taylor at Dosewallips,Hood Canal,on bottom,Clam,NA,T,Center,NA,Clam,,,18,479,3_24_2018,43228.49097,E:/VideoBackup/VideoMarch2018/SD18_23March2018_HoodDosewallipsTaylor/100GOPRO/GOPR0479.MP4,high,b,no,0.452777778,120.85,59.94,unknown crab,benthic,NA,NA,cancroid,NA,NA,ZB or OP,1,o,NA,POINT,16.368,0,NA,NA,Crabs,Crabs,2018,3,,3,24,2018,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,SD26 279 7_24_2017,Chelsea,South Sound,Off,Flipbag,NA,T,Center,NA,Flipbag,Flipbag_S,9,SD26,279,7_24_2017,43053.59861,F:/VideoBackup/video files for analysis/deployed 7_24_2017/SD26/GOPR0279.MP8,low,a,no,0.835416667,120.85,59.94,surf perch,pelagic/free swimming,3 ± 0.31,3,fusiform,2 to 4,V,ZP,1,o,,POINT,4.038,0,,light filamentous algae cover,PelFusZP,PelFusZP,2017,7,,7,24,2017,42940,7,24,2017,South,Chelsea-Eld,Flipbag,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0
